State,County,Latitude,Longitude,Date,prediction,probability of event
WY,Albany,41.293265,-105.590699,2022-01-01,0.0,0.38
WY,Albany,41.293265,-105.590699,2022-01-02,0.0,0.19
WY,Albany,41.293265,-105.590699,2022-01-03,0.0,0.45
WY,Albany,41.293265,-105.590699,2022-01-04,0.0,0.39
WY,Albany,41.293265,-105.590699,2022-01-05,0.0,0.37
WY,Albany,41.293265,-105.590699,2022-01-06,0.0,0.38
WY,Albany,41.293265,-105.590699,2022-01-07,1.0,0.63
WY,Albany,41.293265,-105.590699,2022-01-08,0.0,0.45
WY,Albany,41.293265,-105.590699,2022-01-09,0.0,0.39
WY,Albany,41.293265,-105.590699,2022-01-10,0.0,0.36
WY,Albany,41.293265,-105.590699,2022-01-11,0.0,0.48
WY,Albany,41.293265,-105.590699,2022-01-12,0.0,0.5
WY,Albany,41.293265,-105.590699,2022-01-13,0.0,0.43
WY,Albany,41.293265,-105.590699,2022-01-14,0.0,0.47
WY,Albany,41.293265,-105.590699,2022-01-15,0.0,0.44
WY,Albany,41.293265,-105.590699,2022-01-16,0.0,0.41
WY,Albany,41.293265,-105.590699,2022-01-17,0.0,0.37
WY,Albany,41.293265,-105.590699,2022-01-18,0.0,0.4
WY,Albany,41.293265,-105.590699,2022-01-19,0.0,0.5
WY,Albany,41.293265,-105.590699,2022-01-20,0.0,0.45
WY,Albany,41.293265,-105.590699,2022-01-21,0.0,0.45
WY,Albany,41.293265,-105.590699,2022-01-22,0.0,0.49
WY,Albany,41.293265,-105.590699,2022-01-23,0.0,0.49
WY,Albany,41.293265,-105.590699,2022-01-24,0.0,0.45
WY,Albany,41.293265,-105.590699,2022-01-25,1.0,0.51
WY,Albany,41.293265,-105.590699,2022-01-26,0.0,0.47
WY,Albany,41.293265,-105.590699,2022-01-27,0.0,0.44
WY,Albany,41.293265,-105.590699,2022-01-28,0.0,0.47
WY,Albany,41.293265,-105.590699,2022-01-29,0.0,0.46
WY,Albany,41.293265,-105.590699,2022-01-30,0.0,0.48
WY,Albany,41.293265,-105.590699,2022-01-31,1.0,0.51
WY,Albany,41.293265,-105.590699,2022-02-01,0.0,0.38
WY,Albany,41.293265,-105.590699,2022-02-02,0.0,0.17
WY,Albany,41.293265,-105.590699,2022-02-03,0.0,0.27
WY,Albany,41.293265,-105.590699,2022-02-04,0.0,0.27
WY,Albany,41.293265,-105.590699,2022-02-05,0.0,0.3
WY,Albany,41.293265,-105.590699,2022-02-06,0.0,0.31
WY,Albany,41.293265,-105.590699,2022-02-07,0.0,0.49
WY,Albany,41.293265,-105.590699,2022-02-08,0.0,0.39
WY,Albany,41.293265,-105.590699,2022-02-09,0.0,0.34
WY,Albany,41.293265,-105.590699,2022-02-10,0.0,0.34
WY,Albany,41.293265,-105.590699,2022-02-11,0.0,0.38
WY,Albany,41.293265,-105.590699,2022-02-12,0.0,0.41
WY,Albany,41.293265,-105.590699,2022-02-13,0.0,0.41
WY,Albany,41.293265,-105.590699,2022-02-14,0.0,0.48
WY,Albany,41.293265,-105.590699,2022-02-15,1.0,0.52
WY,Albany,41.293265,-105.590699,2022-02-16,0.0,0.44
WY,Albany,41.293265,-105.590699,2022-02-17,0.0,0.46
WY,Albany,41.293265,-105.590699,2022-02-18,0.0,0.45
WY,Albany,41.293265,-105.590699,2022-02-19,0.0,0.46
WY,Albany,41.293265,-105.590699,2022-02-20,0.0,0.4
WY,Albany,41.293265,-105.590699,2022-02-21,0.0,0.48
