State,County,Latitude ,Longitude ,Date,Time,Crime,Occurences
WY,Albany,41.293265,-105.590699,24-May-17,3:00pm-3:59pm,Abduction,1
WY,Albany,41.293265,-105.590699,14-Jun-17,3:00pm-3:59pm,Sexual Assault,1
WY,Albany,41.293265,-105.590699,5-Jan-19,4:00pm-4:59pm,Sexual Assault,1
WY,Albany,41.293265,-105.590699,4-Sep-19,3:00pm-3:59pm,Sexual Assault,1
WY,Albany,41.293265,-105.590699,8-Sep-19,3:00am-3:59am,Sexual Assault,1
WY,Albany,41.293265,-105.590699,12-Apr-21,3:00pm-3:59pm,Sexual Assault,1
WY,Albany,41.293265,-105.590699,23-Jun-21,9:00pm-9:59pm,Sexual Assault,1
WY,Albany,41.293265,-105.590699,19-Aug-21,12:00am-12:59am,Sexual Assault,1
WY,Albany,41.293265,-105.590699,22-Nov-21,12:00n-12:59pm,Sexual Assault,1
WY,Albany,41.293265,-105.590699,29-Dec-21,4:00pm-4:59pm,Sexual Assault,1
WY,Albany,41.293265,-105.590699,1-Jan-17,1:00am-1:59am,Assault,2
WY,Albany,41.293265,-105.590699,4-Jan-17,4:00am-4:59am,Assault,1
WY,Albany,41.293265,-105.590699,5-Jan-17,8:00pm-8:59pm,Assault,1
WY,Albany,41.293265,-105.590699,6-Jan-17,5:00pm-5:59pm,Assault,1
WY,Albany,41.293265,-105.590699,7-Jan-17,3:00am-3:59am,Assault,1
WY,Albany,41.293265,-105.590699,9-Jan-17,8:00pm-8:59pm,Assault,1
WY,Albany,41.293265,-105.590699,9-Jan-17,5:00pm-5:59pm,Assault,2
WY,Albany,41.293265,-105.590699,15-Jan-17,11:00pm-11:59pm,Assault,3
WY,Albany,41.293265,-105.590699,19-Jan-17,7:00pm-7:59pm,Assault,1
WY,Albany,41.293265,-105.590699,19-Jan-17,1:00am-1:59am,Assault,2
WY,Albany,41.293265,-105.590699,20-Jan-17,4:00am-4:59am,Assault,2
WY,Albany,41.293265,-105.590699,21-Jan-17,8:00pm-8:59pm,Assault,1
WY,Albany,41.293265,-105.590699,23-Jan-17,4:00am-4:59am,Assault,2
WY,Albany,41.293265,-105.590699,24-Jan-17,8:00pm-8:59pm,Assault,2
WY,Albany,41.293265,-105.590699,26-Jan-17,12:00n-12:59pm,Assault,1
WY,Albany,41.293265,-105.590699,30-Jan-17,8:00am-8:59am,Assault,1
WY,Albany,41.293265,-105.590699,30-Jan-17,4:00pm-4:59pm,Assault,1
WY,Albany,41.293265,-105.590699,5-Feb-17,3:00am-3:59am,Assault,2
WY,Albany,41.293265,-105.590699,6-Feb-17,8:00pm-8:59pm,Assault,1
WY,Albany,41.293265,-105.590699,9-Feb-17,7:00pm-7:59pm,Assault,2
WY,Albany,41.293265,-105.590699,9-Feb-17,8:00pm-8:59pm,Assault,1
WY,Albany,41.293265,-105.590699,12-Feb-17,9:00pm-9:59pm,Assault,1
WY,Albany,41.293265,-105.590699,13-Feb-17,2:00pm-2:59pm,Assault,2
WY,Albany,41.293265,-105.590699,20-Feb-17,12:00n-12:59pm,Assault,1
WY,Albany,41.293265,-105.590699,21-Feb-17,7:00pm-7:59pm,Assault,1
WY,Albany,41.293265,-105.590699,22-Feb-17,9:00am-9:59am,Assault,1
WY,Albany,41.293265,-105.590699,23-Feb-17,8:00pm-8:59pm,Assault,1
WY,Albany,41.293265,-105.590699,27-Feb-17,2:00pm-2:59pm,Assault,2
WY,Albany,41.293265,-105.590699,28-Feb-17,10:00am-10:59am,Assault,2
WY,Albany,41.293265,-105.590699,1-Mar-17,5:00pm-5:59pm,Assault,1
WY,Albany,41.293265,-105.590699,3-Mar-17,2:00am-2:59am,Assault,2
WY,Albany,41.293265,-105.590699,8-Mar-17,9:00pm-9:59pm,Assault,1
WY,Albany,41.293265,-105.590699,8-Mar-17,11:00pm-11:59pm,Assault,1
WY,Albany,41.293265,-105.590699,16-Mar-17,1:00pm-1:59pm,Assault,1
WY,Albany,41.293265,-105.590699,20-Mar-17,8:00pm-8:59pm,Assault,1
WY,Albany,41.293265,-105.590699,23-Mar-17,8:00am-8:59am,Assault,1
WY,Albany,41.293265,-105.590699,28-Mar-17,7:00pm-7:59pm,Assault,2
WY,Albany,41.293265,-105.590699,1-Apr-17,1:00pm-1:59pm,Assault,2
WY,Albany,41.293265,-105.590699,3-Apr-17,8:00pm-8:59pm,Assault,1
WY,Albany,41.293265,-105.590699,3-Apr-17,5:00pm-5:59pm,Assault,1
WY,Albany,41.293265,-105.590699,6-Apr-17,1:00pm-1:59pm,Assault,1
WY,Albany,41.293265,-105.590699,15-Apr-17,3:00am-3:59am,Assault,2
WY,Albany,41.293265,-105.590699,15-Apr-17,2:00pm-2:59pm,Assault,1
WY,Albany,41.293265,-105.590699,17-Apr-17,9:00pm-9:59pm,Assault,2
WY,Albany,41.293265,-105.590699,21-Apr-17,3:00pm-3:59pm,Assault,1
WY,Albany,41.293265,-105.590699,29-Apr-17,3:00am-3:59am,Assault,1
WY,Albany,41.293265,-105.590699,30-Apr-17,6:00pm-6:59pm,Assault,1
WY,Albany,41.293265,-105.590699,1-May-17,7:00pm-7:59pm,Assault,2
WY,Albany,41.293265,-105.590699,2-May-17,10:00am-10:59am,Assault,2
WY,Albany,41.293265,-105.590699,2-May-17,3:00pm-3:59pm,Assault,2
WY,Albany,41.293265,-105.590699,4-May-17,11:00pm-11:59pm,Assault,1
WY,Albany,41.293265,-105.590699,9-May-17,5:00pm-5:59pm,Assault,1
WY,Albany,41.293265,-105.590699,11-May-17,8:00pm-8:59pm,Assault,1
WY,Albany,41.293265,-105.590699,11-May-17,11:00am-11:59am,Assault,1
WY,Albany,41.293265,-105.590699,12-May-17,3:00am-3:59am,Assault,1
WY,Albany,41.293265,-105.590699,13-May-17,12:00am-12:59am,Assault,2
WY,Albany,41.293265,-105.590699,14-May-17,2:00am-2:59am,Assault,1
WY,Albany,41.293265,-105.590699,14-May-17,5:00pm-5:59pm,Assault,1
WY,Albany,41.293265,-105.590699,18-May-17,10:00am-10:59am,Assault,1
WY,Albany,41.293265,-105.590699,18-May-17,3:00pm-3:59pm,Assault,1
WY,Albany,41.293265,-105.590699,18-May-17,5:00pm-5:59pm,Assault,1
WY,Albany,41.293265,-105.590699,19-May-17,10:00pm-10:59pm,Assault,1
WY,Albany,41.293265,-105.590699,21-May-17,1:00pm-1:59pm,Assault,2
WY,Albany,41.293265,-105.590699,26-May-17,3:00am-3:59am,Assault,2
WY,Albany,41.293265,-105.590699,31-May-17,9:00pm-9:59pm,Assault,1
WY,Albany,41.293265,-105.590699,3-Jun-17,10:00pm-10:59pm,Assault,1
WY,Albany,41.293265,-105.590699,8-Jun-17,11:00am-11:59am,Assault,1
WY,Albany,41.293265,-105.590699,12-Jun-17,7:00pm-7:59pm,Assault,2
WY,Albany,41.293265,-105.590699,12-Jun-17,12:00n-12:59pm,Assault,1
WY,Albany,41.293265,-105.590699,15-Jun-17,10:00pm-10:59pm,Assault,1
WY,Albany,41.293265,-105.590699,16-Jun-17,10:00pm-10:59pm,Assault,2
WY,Albany,41.293265,-105.590699,21-Jun-17,2:00pm-2:59pm,Assault,1
WY,Albany,41.293265,-105.590699,21-Jun-17,4:00pm-4:59pm,Assault,1
WY,Albany,41.293265,-105.590699,25-Jun-17,10:00pm-10:59pm,Assault,2
WY,Albany,41.293265,-105.590699,30-Jun-17,2:00pm-2:59pm,Assault,1
WY,Albany,41.293265,-105.590699,1-Jul-17,10:00pm-10:59pm,Assault,1
WY,Albany,41.293265,-105.590699,4-Jul-17,11:00pm-11:59pm,Assault,1
WY,Albany,41.293265,-105.590699,6-Jul-17,8:00pm-8:59pm,Assault,1
WY,Albany,41.293265,-105.590699,6-Jul-17,10:00pm-10:59pm,Assault,2
WY,Albany,41.293265,-105.590699,7-Jul-17,10:00pm-10:59pm,Assault,1
WY,Albany,41.293265,-105.590699,19-Jul-17,5:00am-5:59am,Assault,2
WY,Albany,41.293265,-105.590699,25-Jul-17,9:00pm-9:59pm,Assault,2
WY,Albany,41.293265,-105.590699,25-Jul-17,2:00pm-2:59pm,Assault,2
WY,Albany,41.293265,-105.590699,2-Aug-17,1:00pm-1:59pm,Assault,1
WY,Albany,41.293265,-105.590699,8-Aug-17,8:00pm-8:59pm,Assault,1
WY,Albany,41.293265,-105.590699,11-Aug-17,8:00pm-8:59pm,Assault,1
WY,Albany,41.293265,-105.590699,12-Aug-17,1:00am-1:59am,Assault,1
WY,Albany,41.293265,-105.590699,15-Aug-17,9:00am-9:59am,Assault,1
WY,Albany,41.293265,-105.590699,16-Aug-17,7:00am-7:59am,Assault,2
WY,Albany,41.293265,-105.590699,21-Aug-17,8:00pm-8:59pm,Assault,2
WY,Albany,41.293265,-105.590699,21-Aug-17,9:00am-9:59am,Assault,1
WY,Albany,41.293265,-105.590699,22-Aug-17,9:00pm-9:59pm,Assault,2
WY,Albany,41.293265,-105.590699,27-Aug-17,1:00pm-1:59pm,Assault,1
WY,Albany,41.293265,-105.590699,1-Sep-17,8:00pm-8:59pm,Assault,1
WY,Albany,41.293265,-105.590699,2-Sep-17,12:00am-12:59am,Assault,1
WY,Albany,41.293265,-105.590699,5-Sep-17,6:00pm-6:59pm,Assault,1
WY,Albany,41.293265,-105.590699,6-Sep-17,8:00pm-8:59pm,Assault,2
WY,Albany,41.293265,-105.590699,15-Sep-17,8:00pm-8:59pm,Assault,1
WY,Albany,41.293265,-105.590699,15-Sep-17,11:00pm-11:59pm,Assault,1
